Word,example_pt,example_libras,video_url
Abacate,Eu adoro vitamina de abacate.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/Abacate.mp4
Abacaxi,Eu vendo abacaxi.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abacaxi.mp4
Abóbora,Não gosto de comer abóbora.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/ab%C3%B3bora.mp4
Açaí,Eu tomo açaí toda semana.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/a%C3%A7a%C3%AD.mp4
Acerola,Irei fazer um suco de acerola.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/acerola.mp4
Achocolatado,Prefiro tomar leite sem achocolatado.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/achocolatado.mp4
Açúcar,"Já que todos gostam, irei colocar açúcar no café.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/a%C3%A7%C3%BAcar.mp4
Água de coco,"Sempre que vou à praia, tomo água de coco.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/%C3%A1gua-de-coco.mp4
Alface,O alface que comprei está cheio de insetos.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alface.mp4
Alho,Odeio quando colocam alho na comida.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alho.mp4
Amendoim,Minha avó comprou amendoim na feira.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amendoim.mp4
Amora,Na roça do meu tio há muitas amoras.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amora.mp4
Arroz,Não consigo comer arroz sem feijão.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/arroz.mp4
Azeite,"Quando ir à Portugal, traga para mim um azeite.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/azeite.mp4
